Fecha de la agresión,Tipo de agresión,Departamento,Presunto autor,Temas de cubrimiento relacionados,País
1/01/2017,Amenaza,Cauca,Desconocido,Sin especificar,Colombia
1/01/2017,Amenaza,Cesar,Desconocido,Sin especificar,Colombia
1/01/2017,Desplazamiento forzado,Guaviare,Paramilitares,Sin especificar,Colombia
1/01/2017,Amenaza,Tolima,Desconocido,Sin especificar,Colombia
1/01/2017,Amenaza,Bogotá,Paramilitares,Sin especificar,Colombia
1/01/2017,Amenaza,Caquetá,Desconocido,Sin especificar,Colombia
1/01/2017,Acoso Judicial,Cundinamarca,Funcionario Público,Sin especificar,Colombia
4/01/2017,Amenaza,Bogotá,Particular,Sin especificar,Colombia
5/01/2017,Obstrucción al trabajo periodístico,Tolima,Particular,Sin especificar,Colombia
12/01/2017,Tentativa de Homicidio,Norte de Santander,Desconocido,Sin especificar,Colombia
16/01/2017,Otras,Valle del Cauca,Desconocido,Sin especificar,Colombia
16/01/2017,Amenaza,Antioquia,Desconocido,Sin especificar,Colombia
16/01/2017,Daño a la infraestructura,Nariño,Desconocido,Sin especificar,Colombia
16/01/2017,Amenaza,Arauca,Desconocido,Sin especificar,Colombia
16/01/2017,Agresión física,Quindío,Funcionario Público,Sin especificar,Colombia
16/01/2017,Agresión física,Santander,Político,Sin especificar,Colombia
18/01/2017,Obstrucción al trabajo periodístico,Antioquia,Funcionario Público,Sin especificar,Colombia
20/01/2017,Amenaza,Antioquia,Desconocido,Sin especificar,Colombia
22/01/2017,Agresión física,Bogotá,Fuerza Pública,Sin especificar,Colombia
22/01/2017,Amenaza,Bogotá,Delincuencia Común,Sin especificar,Colombia
22/01/2017,Agresión física,Bogotá,Fuerza Pública,Sin especificar,Colombia
24/01/2017,Amenaza,Bogotá,Desconocido,Sin especificar,Colombia
27/01/2017,Tentativa de Homicidio,La Guajira,Desconocido,Sin especificar,Colombia
27/01/2017,Acoso,Bogotá,Desconocido,Sin especificar,Colombia
28/01/2017,Agresión física,Antioquia,Desconocido,Sin especificar,Colombia
29/01/2017,Agresión física,Bogotá,Particular,Sin especificar,Colombia
29/01/2017,Acoso,Antioquia,Desconocido,Sin especificar,Colombia
1/02/2017,Amenaza,Tolima,Desconocido,Sin especificar,Colombia
2/02/2017,Amenaza,Bogotá,Desconocido,Sin especificar,Colombia
4/02/2017,Amenaza,Bogotá,Desconocido,Sin especificar,Colombia
6/02/2017,Amenaza,Valle del Cauca,Desconocido,Sin especificar,Colombia
8/02/2017,Acoso Judicial,Bogotá,Particular,Sin especificar,Colombia
9/02/2017,Amenaza,Bolívar,Desconocido,Sin especificar,Colombia
9/02/2017,Agresión física,Magdalena,Fuerza Pública,Sin especificar,Colombia
10/02/2017,Amenaza,Cauca,Paramilitares,Sin especificar,Colombia
14/02/2017,Amenaza,Boyacá,Funcionario Público,Sin especificar,Colombia
15/02/2017,Obstrucción al trabajo periodístico,Boyacá,Funcionario Público,Sin especificar,Colombia
16/02/2017,Obstrucción al trabajo periodístico,Bogotá,Funcionario Público,Sin especificar,Colombia
17/02/2017,Acoso,Bogotá,Desconocido,Sin especificar,Colombia
17/02/2017,Obstrucción al trabajo periodístico,Magdalena,Fuerza Pública,Sin especificar,Colombia
20/02/2017,Acoso Judicial,Valle del Cauca,Funcionario Público,Sin especificar,Colombia
21/02/2017,Obstrucción al trabajo periodístico,Meta,Funcionario Público,Sin especificar,Colombia
23/02/2017,Estigmatización,Santander,Funcionario Público,Sin especificar,Colombia
23/02/2017,Otras,Norte de Santander,Funcionario Público,Sin especificar,Colombia
24/02/2017,Amenaza,Amazonas,Desconocido,Sin especificar,Colombia
26/02/2017,Amenaza,Antioquia,Funcionario Público,Sin especificar,Colombia
28/02/2017,Estigmatización,Caldas,Funcionario Público,Sin especificar,Colombia
1/03/2017,Estigmatización,Bogotá,Funcionario Público,Sin especificar,Colombia
2/03/2017,Acoso,Bogotá,Desconocido,Sin especificar,Colombia
4/03/2017,Amenaza,Valle del Cauca,Particular,Sin especificar,Colombia
