Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
$85.425,$5182.0,402.0,6.0,60.0,12 years,No,No,,East,$218.0
$49.927,$6396.0,485.0,3.0,75.0,17 years,Yes,No,Yes,South,$890.0
$10.403,$4159.0,310.0,3.0,43.0,7 years,No,No,Yes,West,$571.0
$30.413,$3690.0,299.0,2.0,25.0,15 years,Yes,Yes,No,West,$728.0
$24.088,$3665.0,287.0,4.0,,13 years,Yes,No,Yes,South,$309.0
$75.406,$3874.0,298.0,3.0,41.0,14 years,Yes,No,Yes,West,$0.0
$61.069,$7871.0,564.0,3.0,56.0,14 years,No,No,Yes,South,$1264.0
$29.705,$3351.0,262.0,5.0,71.0,,Yes,No,,West,$148.0
$55.367,$6340.0,448.0,1.0,33.0,15 years,No,No,Yes,South,$815.0
$17.055,$5110.0,371.0,3.0,55.0,15 years,Yes,No,Yes,South,$805.0
$15.602,$906.0,103.0,2.0,36.0,11 years,No,No,Yes,,$0.0
$14.132,$2998.0,251.0,4.0,75.0,17 years,No,No,No,,$133.0
$15.717,$905.0,93.0,1.0,38.0,16 years,No,Yes,Yes,South,$0.0
$20.088,$1870.0,180.0,3.0,76.0,16 years,No,No,No,East,$0.0
$101.788,$8029.0,,2.0,84.0,11 years,No,No,Yes,South,$849.0
$56.256,$5521.0,406.0,,72.0,16 years,Yes,Yes,Yes,South,$1020.0
$16.711,$5274.0,387.0,3.0,42.0,16 years,Yes,,Yes,West,$863.0
$28.474,$3202.0,267.0,5.0,66.0,12 years,No,No,Yes,South,
$68.206,$6784.0,499.0,5.0,40.0,16 years,Yes,Yes,No,,$1411.0
$113.659,$7659.0,538.0,2.0,66.0,15 years,No,Yes,Yes,East,$1155.0
$22.939,$4923.0,355.0,1.0,47.0,18 years,Yes,No,Yes,West,$663.0
$32.916,,154.0,2.0,60.0,8 years,Yes,No,Yes,West,
$42.915,$2532.0,205.0,4.0,42.0,13 years,No,No,Yes,West,$0.0
$53.319,$3000.0,235.0,,53.0,13 years,No,No,No,West,$0.0
$28.941,$2733.0,210.0,5.0,43.0,16 years,No,No,Yes,West,$0.0
$10.627,$1647.0,149.0,2.0,71.0,10 years,Yes,,Yes,West,$195.0
$53.48,$4263.0,317.0,1.0,83.0,15 years,No,No,No,South,$99.0
$29.564,$2529.0,192.0,,,,Yes,No,Yes,South,$0.0
$30.406,$2120.0,181.0,2.0,79.0,14 years,No,No,Yes,East,$0.0
$91.876,$6754.0,483.0,2.0,33.0,10 years,No,No,Yes,South,$605.0
$30.002,,155.0,4.0,70.0,,,No,Yes,South,$0.0
$58.929,$6420.0,459.0,2.0,66.0,9 years,Yes,No,Yes,East,$789.0
$23.012,$1410.0,137.0,,81.0,16 years,No,No,No,South,$0.0
$23.989,$4523.0,,4.0,31.0,15 years,No,No,No,South,$601.0
$71.408,$7114.0,512.0,2.0,87.0,9 years,No,No,No,West,
$15.846,,365.0,4.0,53.0,12 years,Yes,No,No,South,$745.0
$28.144,$1567.0,142.0,3.0,51.0,10 years,No,No,Yes,South,$0.0
$19.531,$5043.0,376.0,2.0,,16 years,Yes,Yes,Yes,West,$1241.0
$27.847,$5619.0,,2.0,78.0,15 years,Yes,No,Yes,South,$822.0
$15.741,,360.0,1.0,39.0,14 years,No,No,Yes,West,$689.0
$16.103,$5390.0,418.0,4.0,45.0,10 years,Yes,No,Yes,South,$945.0
$36.472,$3806.0,309.0,2.0,52.0,13 years,No,No,No,East,$188.0
$11.741,$2271.0,182.0,4.0,59.0,12 years,Yes,No,,West,$0.0
$77.38,$7569.0,564.0,3.0,,12 years,Yes,No,Yes,South,$997.0
$24.23,$4756.0,351.0,2.0,64.0,15 years,,No,,South,$594.0
