accommodates,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
4,1.0,1.0,2.0,$160.00,$115.00,$100.00,1,1125,0
6,3.0,3.0,3.0,$350.00,$100.00,,2,30,65
1,1.0,2.0,1.0,$50.00,,,2,1125,1
2,1.0,1.0,1.0,$95.00,,,1,1125,0
4,1.0,1.0,1.0,$50.00,$15.00,$450.00,7,1125,0
4,2.0,1.0,4.0,$99.00,,,1,1125,0
4,2.0,2.0,2.0,$100.00,$50.00,$150.00,3,1125,0
2,1.0,1.0,1.0,$100.00,,,1,1125,0
2,1.0,1.5,1.0,$38.00,,,2,180,1
2,1.0,,1.0,$71.00,$10.00,,2,365,4
4,2.0,1.5,2.0,$97.00,$50.00,$250.00,4,1125,5
1,1.0,1.0,1.0,$55.00,,$100.00,3,1125,1
2,1.0,1.0,1.0,$50.00,$20.00,$150.00,2,14,0
2,0.0,1.0,1.0,$99.00,$125.00,,7,1125,0
2,1.0,,1.0,$60.00,$10.00,,2,1125,2
2,1.0,1.0,1.0,$52.00,,,1,1125,1
1,1.0,1.0,1.0,$23.00,$5.00,,1,1125,1
2,1.0,1.0,2.0,$200.00,,$100.00,1,1125,0
4,2.0,1.0,2.0,$40.00,,,1,1125,0
2,1.0,1.0,1.0,$135.00,,,1,1125,0
2,1.0,1.0,1.0,$100.00,,,1,1125,0
2,1.0,1.0,1.0,$225.00,,,1,1125,0
7,4.0,3.0,3.0,$129.00,$99.00,$99.00,14,1125,0
1,1.0,1.0,1.0,$149.00,,,3,31,46
4,1.0,1.0,2.0,$150.00,$30.00,$100.00,2,365,84
4,1.0,1.5,1.0,$175.00,$25.00,,1,1125,25
3,2.0,1.0,2.0,$239.00,$50.00,,5,1125,4
4,1.0,1.0,2.0,$65.00,,,2,1125,2
2,1.0,1.0,1.0,$71.00,$12.00,,2,14,83
2,1.0,1.0,1.0,$80.00,,,1,1125,19
4,1.0,2.5,3.0,$250.00,,,1,730,94
2,1.0,1.0,1.0,$138.00,$50.00,$250.00,1,365,47
2,1.0,1.0,1.0,$94.00,,,2,21,150
5,2.0,2.5,2.0,$283.00,$120.00,$500.00,3,1125,15
3,1.0,1.0,3.0,$127.00,,,3,16,0
6,1.0,1.0,3.0,$79.00,,,1,365,69
3,1.0,1.0,1.0,$110.00,,,1,1125,1
6,1.0,1.0,6.0,$38.00,,,1,1125,2
9,3.0,2.5,5.0,$480.00,$200.00,,3,1125,5
6,2.0,2.0,3.0,$372.00,$80.00,,3,1125,33
3,1.0,1.0,2.0,$125.00,$60.00,,1,30,11
2,1.0,1.0,1.0,$89.00,$30.00,$200.00,1,1125,3
1,1.0,1.0,1.0,$80.00,,,1,1125,5
5,0.0,1.0,3.0,$90.00,$100.00,,3,999,29
3,0.0,1.0,2.0,$110.00,$35.00,,2,1125,32
3,2.0,1.0,3.0,$100.00,$40.00,,3,1125,1
4,2.0,2.0,2.0,$250.00,$75.00,$250.00,1,100,15
1,1.0,1.0,1.0,$55.00,$75.00,$150.00,1,1125,0
3,1.0,1.0,2.0,$55.00,$75.00,$150.00,1,1125,5
2,1.0,1.0,1.0,$400.00,,$200.00,2,4,0
1,1.0,1.0,1.0,$35.00,$25.00,,1,1125,0
4,2.0,2.0,2.0,$160.00,$30.00,$200.00,2,8,5
4,2.0,2.5,2.0,$130.00,$60.00,$300.00,2,1125,1
1,1.0,1.0,1.0,$50.00,,,1,1125,0
2,1.0,1.0,1.0,$150.00,,,1,1125,0
2,1.0,1.5,1.0,$40.00,,,1,1125,9
2,1.0,1.0,1.0,$45.00,,,1,1125,0
2,1.0,2.5,1.0,$55.00,$25.00,$300.00,2,1125,0
2,1.0,1.0,1.0,$200.00,,,1,1125,1
2,1.0,1.0,1.0,$65.00,,,1,1125,4
4,1.0,1.5,1.0,$94.00,$15.00,$95.00,1,31,18
1,1.0,1.0,1.0,$65.00,,,1,1125,2
5,1.0,1.5,1.0,$64.00,$15.00,$95.00,1,90,115
2,1.0,1.0,1.0,$59.00,,,1,1125,18
1,1.0,,,$125.00,,,1,1125,0
3,1.0,1.5,1.0,$74.00,$15.00,$95.00,1,90,33
3,1.0,1.0,1.0,$69.00,$10.00,,1,1125,8
1,1.0,1.0,1.0,$49.00,$35.00,,1,1125,1
2,1.0,1.0,1.0,$60.00,,$100.00,1,365,0
2,1.0,1.0,1.0,$69.00,$10.00,,1,1125,19
4,1.0,1.0,2.0,$157.00,$65.00,,2,1125,3
3,1.0,1.0,1.0,$128.00,$40.00,,1,1125,9
2,1.0,1.0,1.0,$135.00,$95.00,$150.00,6,1125,6
2,1.0,1.0,1.0,$90.00,,,2,1125,6
2,1.0,1.0,1.0,$102.00,$49.00,$100.00,5,31,6
3,1.0,1.0,1.0,$99.00,$50.00,$100.00,1,19,0
2,1.0,1.0,1.0,$195.00,,,1,1125,1
4,1.0,1.0,2.0,$160.00,$50.00,$200.00,1,1125,59
2,1.0,1.0,1.0,$95.00,$100.00,,1,1125,1
2,1.0,1.0,1.0,$120.00,,,1,1125,0
6,2.0,2.0,3.0,$249.00,$59.00,,2,180,0
2,1.0,1.0,1.0,$88.00,$35.00,$200.00,3,1125,1
2,1.0,1.0,1.0,$90.00,$10.00,$95.00,1,1125,2
2,,1.0,1.0,$150.00,,,1,1125,0
2,1.0,1.0,1.0,$125.00,,,1,1125,0
2,1.0,1.0,1.0,$85.00,$20.00,,3,14,145
3,1.0,1.0,2.0,$400.00,,,1,1125,0
2,1.0,1.0,1.0,$120.00,,,2,1125,8
10,4.0,2.0,4.0,$215.00,$125.00,$500.00,2,1825,29
2,1.0,0.5,1.0,$90.00,,,2,4,0
2,1.0,1.0,1.0,$50.00,,$95.00,2,240,23
5,1.0,1.0,2.0,$100.00,$25.00,,1,1125,12
4,2.0,2.0,2.0,$65.00,,,1,1125,0
2,1.0,1.0,1.0,$55.00,,,2,30,4
8,3.0,2.5,1.0,$129.00,,$200.00,1,5,58
1,1.0,1.0,1.0,$45.00,,,1,1125,4
5,2.0,2.0,2.0,$299.00,,,3,365,34
5,2.0,2.0,2.0,$309.00,,,4,365,8
7,2.0,1.0,4.0,$375.00,,,1,1125,0
4,2.0,2.0,3.0,$180.00,$50.00,$250.00,7,21,48
4,1.0,1.0,1.0,$149.00,$100.00,$95.00,3,1125,32
5,2.0,2.0,3.0,$337.00,$100.00,,3,1125,6
4,2.0,2.0,2.0,$299.00,,,3,730,7
3,1.0,1.0,1.0,$249.00,,,4,365,6
3,0.0,1.5,1.0,$126.00,$100.00,$500.00,2,1125,5
2,1.0,1.0,1.0,$99.00,,$100.00,1,1125,1
4,2.0,2.0,2.0,$299.00,,,3,365,2
2,1.0,1.0,1.0,$199.00,$200.00,,7,1125,1
3,1.0,1.0,3.0,$89.00,$30.00,$95.00,1,1125,1
2,0.0,1.0,1.0,$165.00,$75.00,$400.00,1,1125,0
4,2.0,2.0,2.0,$309.00,,,4,365,1
2,0.0,1.0,1.0,$115.00,,,1,1125,0
4,1.0,1.0,2.0,$130.00,$25.00,,1,1125,85
2,1.0,2.0,1.0,$95.00,$10.00,,1,1125,0
1,1.0,1.0,1.0,$50.00,$15.00,$95.00,2,1125,6
3,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0
1,1.0,1.0,1.0,$55.00,,,20,21,0
2,1.0,1.5,1.0,$49.00,$12.00,$95.00,1,1125,3
4,2.0,1.0,2.0,$250.00,$115.00,$500.00,3,1125,4
2,1.0,,1.0,$198.00,$150.00,,7,365,0
5,2.0,2.0,3.0,$311.00,$100.00,,3,1125,3
2,0.0,1.0,1.0,$95.00,$25.00,,2,29,35
1,1.0,1.0,2.0,$59.00,$30.00,$200.00,1,1125,1
2,1.0,1.0,1.0,$167.00,$104.00,$575.00,5,1125,31
3,1.0,1.0,1.0,$165.00,,$135.00,1,1125,0
3,1.0,1.5,1.0,$104.00,,$200.00,2,1125,11
2,1.0,,1.0,$99.00,,$500.00,1,1125,169
4,1.0,1.0,3.0,$159.00,$120.00,,1,1125,0
2,0.0,1.0,1.0,$190.00,,,3,1125,13
3,1.0,1.0,2.0,$246.00,$100.00,,3,1125,0
3,1.0,1.0,2.0,$200.00,$70.00,$200.00,2,1125,14
3,1.0,1.0,2.0,$215.00,,,1,1125,34
4,2.0,2.0,2.0,$450.00,,$450.00,1,1125,0
3,1.0,1.0,1.0,$234.00,$100.00,,3,1125,0
2,1.0,1.5,1.0,$110.00,$10.00,,2,1125,33
4,2.0,2.0,2.0,$225.00,,$300.00,3,30,0
3,1.0,1.0,1.0,$249.00,,,4,365,4
2,1.0,1.0,1.0,$109.00,$45.00,$500.00,1,1125,0
4,2.0,2.0,2.0,$250.00,$70.00,,3,1125,1
4,1.0,1.0,1.0,$135.00,,,2,1125,2
3,1.0,2.0,2.0,$87.00,$40.00,"$1,000.00",2,30,2
4,1.0,1.0,1.0,$210.00,$60.00,$200.00,1,90,103
10,3.0,2.0,6.0,$300.00,$150.00,$150.00,3,1125,5
2,0.0,1.0,1.0,$189.00,,,4,365,0
2,1.0,1.0,1.0,$120.00,,,1,1125,0
2,1.0,1.0,1.0,$200.00,,,1,1,1
3,1.0,1.0,2.0,$269.00,$100.00,,1,1125,6
3,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0
4,2.0,2.0,2.0,$120.00,$100.00,$500.00,1,1125,3
1,1.0,1.0,1.0,$109.00,,,2,5,1
3,1.0,1.0,1.0,$150.00,$25.00,,2,1125,4
3,1.0,1.0,1.0,$95.00,$35.00,,2,1125,70
4,1.0,1.0,2.0,$119.00,,,1,20,0
2,1.0,1.0,1.0,$97.00,$10.00,,1,1125,2
2,1.0,1.0,1.0,$99.00,$10.00,,1,4,51
2,1.0,1.0,1.0,$295.00,$65.00,,1,1125,28
2,1.0,1.0,1.0,$149.00,,$150.00,2,1125,9
2,1.0,1.0,1.0,$110.00,$10.00,,1,1125,10
5,2.0,1.0,3.0,$180.00,,,2,366,1
2,0.0,1.0,2.0,$150.00,$75.00,,3,1125,3
6,0.0,1.0,3.0,$150.00,$129.00,,3,100000,24
5,2.0,2.5,2.0,$155.00,$90.00,$99.00,2,1125,23
3,1.0,1.0,2.0,$85.00,,$150.00,3,30,338
2,1.0,1.0,1.0,$130.00,,,1,1125,4
3,1.0,1.0,1.0,$120.00,$50.00,,1,1125,3
2,1.0,1.0,1.0,$90.00,$10.00,,2,1125,12
2,1.0,1.0,2.0,$149.00,,,1,1125,47
3,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0
4,1.0,1.0,1.0,$180.00,$50.00,,1,1125,6
1,1.0,1.0,1.0,$55.00,$15.00,,1,14,1
4,1.0,1.0,1.0,$229.00,$50.00,,2,720,29
2,1.0,1.0,1.0,$75.00,,,1,1125,2
3,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0
2,1.0,1.0,1.0,$105.00,,,1,1125,245
2,1.0,1.0,1.0,$259.00,,,4,365,3
2,1.0,1.0,1.0,$120.00,$30.00,$100.00,2,1125,1
3,1.0,1.0,2.0,$119.00,,$99.00,5,1125,3
2,1.0,1.5,1.0,$139.00,$50.00,$500.00,1,1125,0
1,1.0,1.0,1.0,$90.00,$120.00,$100.00,1,1125,0
1,1.0,1.0,1.0,$109.00,,,3,1125,34
4,1.0,1.0,2.0,$150.00,$45.00,$200.00,2,90,25
5,0.0,1.0,3.0,$295.00,$125.00,,3,999,45
3,1.0,1.0,1.0,$210.00,$50.00,$200.00,1,365,57
6,2.0,1.5,2.0,$329.00,$159.00,,3,999,21
2,0.0,1.0,1.0,$125.00,,,2,7,0
2,1.0,1.0,1.0,$150.00,$25.00,,1,1125,1
3,1.0,1.0,2.0,$175.00,,,2,15,139
3,1.0,1.0,2.0,$129.00,$15.00,,1,1125,7
2,1.0,1.0,1.0,$239.00,$150.00,,5,730,0
2,1.0,1.0,1.0,$250.00,$85.00,"$1,500.00",2,1125,17
4,1.0,1.0,2.0,$168.00,$35.00,,1,1125,136
2,1.0,1.0,1.0,$79.00,$12.00,,2,1125,2
1,1.0,1.0,2.0,$65.00,,,2,1125,0
4,2.0,2.0,2.0,$290.00,$80.00,$350.00,3,365,32
6,1.0,1.0,3.0,$725.00,,$200.00,5,30,0
2,1.0,1.0,1.0,$109.00,$10.00,,1,1125,5
4,1.0,1.0,2.0,$99.00,$25.00,$500.00,1,1125,3
